"","id","name","sex","age","height","weight","team","noc","games","year","season","city","sport","event","medal","gold","sex_c","event_gender"
"1",145,"Jeremy Abbott","M",28,175,70,"United States","USA","2014 Winter",2014,"Winter","Sochi","Figure Skating","Figure Skating  Team","Bronze",0,-0.5,"Mixed"
"2",1188,"Benjamin Alexandro ""Ben"" Agosto","M",24,178,75,"United States-1","USA","2006 Winter",2006,"Winter","Torino","Figure Skating","Figure Skating  Ice Dancing","Silver",0,-0.5,"Mixed"
"3",1356,"Christian Ahlmann","M",29,189,80,"Germany","GER","2004 Summer",2004,"Summer","Athina","Equestrianism","Equestrianism  Jumping, Team","Bronze",0,-0.5,"Mixed"
"4",1356,"Christian Ahlmann","M",41,189,80,"Germany","GER","2016 Summer",2016,"Summer","Rio de Janeiro","Equestrianism","Equestrianism  Jumping, Team","Bronze",0,-0.5,"Mixed"
"5",1374,"Tontowi Ahmad","M",29,179,72,"Indonesia-1","INA","2016 Summer",2016,"Summer","Rio de Janeiro","Badminton","Badminton  Doubles","Gold",1,-0.5,"Mixed"
"6",1498,"Charles Benedict ""Ben"" Ainslie","M",19,183,90,"Great Britain","GBR","1996 Summer",1996,"Summer","Atlanta","Sailing","Sailing  One Person Dinghy","Silver",0,-0.5,"Mixed"
"7",1498,"Charles Benedict ""Ben"" Ainslie","M",23,183,90,"Great Britain","GBR","2000 Summer",2000,"Summer","Sydney","Sailing","Sailing  One Person Dinghy","Gold",1,-0.5,"Mixed"
"8",1498,"Charles Benedict ""Ben"" Ainslie","M",31,183,90,"Great Britain","GBR","2008 Summer",2008,"Summer","Beijing","Sailing","Sailing  One Person Dinghy","Gold",1,-0.5,"Mixed"
"9",1885,"Ramzy Al-Duhami","M",40,162,70,"Saudi Arabia","KSA","2012 Summer",2012,"Summer","London","Equestrianism","Equestrianism  Jumping, Team","Bronze",0,-0.5,"Mixed"
"10",1889,"Khaled Al-Eid","M",31,175,57,"Saudi Arabia","KSA","2000 Summer",2000,"Summer","Sydney","Equestrianism","Equestrianism  Jumping, Individual","Bronze",0,-0.5,"Mixed"
"11",2134,"Prince Abdullah Bin Moteb Al-Saud","M",27,178,69,"Saudi Arabia","KSA","2012 Summer",2012,"Summer","London","Equestrianism","Equestrianism  Jumping, Team","Bronze",0,-0.5,"Mixed"
"12",2651,"Sara Anneli Algotsson Ostholt","F",37,163,56,"Sweden","SWE","2012 Summer",2012,"Summer","London","Equestrianism","Equestrianism  Three-Day Event, Individual","Silver",0,0.5,"Mixed"
"13",4392,"Marina Vyacheslavovna Anissina (-Dzhigurda)","F",22,162,52,"France-1","FRA","1998 Winter",1998,"Winter","Nagano","Figure Skating","Figure Skating  Ice Dancing","Bronze",0,0.5,"Mixed"
"14",4392,"Marina Vyacheslavovna Anissina (-Dzhigurda)","F",26,162,52,"France-1","FRA","2002 Winter",2002,"Winter","Salt Lake City","Figure Skating","Figure Skating  Ice Dancing","Gold",1,0.5,"Mixed"
"15",4579,"Vladislav Nikolayevich Antonov","M",22,179,80,"Russia","RUS","2014 Winter",2014,"Winter","Sochi","Luge","Luge  Team Relay","Silver",0,-0.5,"Mixed"
"16",4921,"Simon David Archer","M",27,189,86,"Great Britain-2","GBR","2000 Summer",2000,"Summer","Sydney","Badminton","Badminton  Doubles","Bronze",0,-0.5,"Mixed"
"17",5117,"Tobias Arlt","M",26,178,77,"Germany-1","GER","2014 Winter",2014,"Winter","Sochi","Luge","Luge  (Men)'s Doubles","Gold",1,-0.5,"Mixed"
"18",5117,"Tobias Arlt","M",26,178,77,"Germany","GER","2014 Winter",2014,"Winter","Sochi","Luge","Luge  Team Relay","Gold",1,-0.5,"Mixed"
"19",5532,"Glenn Ashby","M",30,170,76,"Australia","AUS","2008 Summer",2008,"Summer","Beijing","Sailing","Sailing  Multihull","Silver",0,-0.5,"Mixed"
"20",5934,"Sandra Auffarth","F",25,170,57,"Germany","GER","2012 Summer",2012,"Summer","London","Equestrianism","Equestrianism  Three-Day Event, Individual","Bronze",0,0.5,"Mixed"
"21",5934,"Sandra Auffarth","F",25,170,57,"Germany","GER","2012 Summer",2012,"Summer","London","Equestrianism","Equestrianism  Three-Day Event, Team","Gold",1,0.5,"Mixed"
"22",5934,"Sandra Auffarth","F",29,170,57,"Germany","GER","2016 Summer",2016,"Summer","Rio de Janeiro","Equestrianism","Equestrianism  Three-Day Event, Team","Silver",0,0.5,"Mixed"
"23",6092,"Ilya Izyaslavovich Averbukh","M",28,177,68,"Russia-1","RUS","2002 Winter",2002,"Winter","Salt Lake City","Figure Skating","Figure Skating  Ice Dancing","Silver",0,-0.5,"Mixed"
"24",6296,"Viktoriya Fyodorovna ""Vika"" Azarenko","F",22,183,60,"Belarus","BLR","2012 Summer",2012,"Summer","London","Tennis","Tennis  Doubles","Gold",1,0.5,"Mixed"
"25",6812,"Kamal Bahamdan","M",42,172,69,"Saudi Arabia","KSA","2012 Summer",2012,"Summer","London","Equestrianism","Equestrianism  Jumping, Team","Bronze",0,-0.5,"Mixed"
"26",6834,"Gunnar Bahr","M",25,185,87,"Germany","GER","2000 Summer",2000,"Summer","Sydney","Sailing","Sailing  Three Person Keelboat","Silver",0,-0.5,"Mixed"
"27",7272,"Nikolaus ""Klaus"" Balkenhol","M",56,178,83,"Germany","GER","1996 Summer",1996,"Summer","Atlanta","Equestrianism","Equestrianism  Dressage, Team","Gold",1,-0.5,"Mixed"
"28",7322,"Jos Luis Ballester Tuliesa","M",27,173,72,"Spain","ESP","1996 Summer",1996,"Summer","Atlanta","Sailing","Sailing  Multihull","Gold",1,-0.5,"Mixed"
"29",7535,"Jesper Bank","M",43,184,100,"Denmark","DEN","2000 Summer",2000,"Summer","Sydney","Sailing","Sailing  Three Person Keelboat","Gold",1,-0.5,"Mixed"
"30",7890,"Ian Dallas Barker","M",34,183,76,"Great Britain","GBR","2000 Summer",2000,"Summer","Sydney","Sailing","Sailing  Skiff","Silver",0,-0.5,"Mixed"
"31",8240,"Martina Maria Anna Antonia ""Tineke"" Bartels-de Vries","F",45,177,64,"Netherlands","NED","1996 Summer",1996,"Summer","Atlanta","Equestrianism","Equestrianism  Dressage, Team","Silver",0,0.5,"Mixed"
"32",8331,"James ""Jim"" Barton","M",40,188,84,"United States","USA","1996 Summer",1996,"Summer","Atlanta","Sailing","Sailing  Three Person Keelboat","Bronze",0,-0.5,"Mixed"
"33",8381,"Malin Birgitta Baryard-Johnsson","F",29,172,52,"Sweden","SWE","2004 Summer",2004,"Summer","Athina","Equestrianism","Equestrianism  Jumping, Team","Silver",0,0.5,"Mixed"
"34",9041,"Colin Kenneth Beashel","M",36,181,87,"Australia","AUS","1996 Summer",1996,"Summer","Atlanta","Sailing","Sailing  Two Person Keelboat","Bronze",0,-0.5,"Mixed"
"35",9154,"Laura Bechtolsheimer (-Tomlinson)","F",27,169,56,"Great Britain","GBR","2012 Summer",2012,"Summer","London","Equestrianism","Equestrianism  Dressage, Individual","Bronze",0,0.5,"Mixed"
"36",9154,"Laura Bechtolsheimer (-Tomlinson)","F",27,169,56,"Great Britain","GBR","2012 Summer",2012,"Summer","London","Equestrianism","Equestrianism  Dressage, Team","Gold",1,0.5,"Mixed"
"37",9213,"Otto Becker","M",41,182,78,"Germany","GER","2000 Summer",2000,"Summer","Sydney","Equestrianism","Equestrianism  Jumping, Team","Gold",1,-0.5,"Mixed"
"38",9213,"Otto Becker","M",45,182,78,"Germany","GER","2004 Summer",2004,"Summer","Athina","Equestrianism","Equestrianism  Jumping, Team","Bronze",0,-0.5,"Mixed"
"39",9349,"Ludger Beerbaum","M",32,190,85,"Germany","GER","1996 Summer",1996,"Summer","Atlanta","Equestrianism","Equestrianism  Jumping, Team","Gold",1,-0.5,"Mixed"
"40",9349,"Ludger Beerbaum","M",37,190,85,"Germany","GER","2000 Summer",2000,"Summer","Sydney","Equestrianism","Equestrianism  Jumping, Team","Gold",1,-0.5,"Mixed"
"41",9349,"Ludger Beerbaum","M",52,190,85,"Germany","GER","2016 Summer",2016,"Summer","Rio de Janeiro","Equestrianism","Equestrianism  Jumping, Team","Bronze",0,-0.5,"Mixed"
"42",9420,"Jan Behrendt","M",26,169,70,"Germany-1","GER","1994 Winter",1994,"Winter","Lillehammer","Luge","Luge  (Men)'s Doubles","Bronze",0,-0.5,"Mixed"
"43",9420,"Jan Behrendt","M",30,169,70,"Germany-1","GER","1998 Winter",1998,"Winter","Nagano","Luge","Luge  (Men)'s Doubles","Gold",1,-0.5,"Mixed"
"44",9561,"Tanith Jessica Louise Belbin","F",21,167,52,"United States-1","USA","2006 Winter",2006,"Winter","Torino","Figure Skating","Figure Skating  Ice Dancing","Silver",0,0.5,"Mixed"
"45",10085,"Rolf-Gran Bengtsson","M",42,171,67,"Sweden","SWE","2004 Summer",2004,"Summer","Athina","Equestrianism","Equestrianism  Jumping, Team","Silver",0,-0.5,"Mixed"
"46",10085,"Rolf-Gran Bengtsson","M",46,171,67,"Sweden","SWE","2008 Summer",2008,"Summer","Beijing","Equestrianism","Equestrianism  Jumping, Individual","Silver",0,-0.5,"Mixed"
"47",10361,"Yelena Viktorovna Berezhnaya","F",20,154,42,"Russia-2","RUS","1998 Winter",1998,"Winter","Nagano","Figure Skating","Figure Skating  Pairs","Silver",0,0.5,"Mixed"
"48",10361,"Yelena Viktorovna Berezhnaya","F",24,154,42,"Russia-1","RUS","2002 Winter",2002,"Winter","Salt Lake City","Figure Skating","Figure Skating  Pairs","Gold",1,0.5,"Mixed"
"49",10467,"Tora Berger (-Tveldal)","F",32,166,56,"Norway","NOR","2014 Winter",2014,"Winter","Sochi","Biathlon","Biathlon  2 x 6 kilometres and 2 x 7.5 kilometres Relay","Gold",1,0.5,"Mixed"
"50",11448,"Fiona Clare Bigwood","F",40,173,75,"Great Britain","GBR","2016 Summer",2016,"Summer","Rio de Janeiro","Equestrianism","Equestrianism  Dressage, Team","Silver",0,0.5,"Mixed"
"51",11951,"Ole Einar Bjrndalen","M",40,178,65,"Norway","NOR","2014 Winter",2014,"Winter","Sochi","Biathlon","Biathlon  2 x 6 kilometres and 2 x 7.5 kilometres Relay","Gold",1,-0.5,"Mixed"
"52",11995,"Julie Lynne Black-Burns Richards","F",33,170,54,"United States","USA","2004 Summer",2004,"Summer","Athina","Equestrianism","Equestrianism  Three-Day Event, Team","Bronze",0,0.5,"Mixed"
"53",12003,"Michael James Blackburn","M",30,178,78,"Australia","AUS","2000 Summer",2000,"Summer","Sydney","Sailing","Sailing  One Person Dinghy","Bronze",0,-0.5,"Mixed"
"54",12095,"Henrik Blakskjr","M",29,194,90,"Denmark","DEN","2000 Summer",2000,"Summer","Sydney","Sailing","Sailing  Three Person Keelboat","Gold",1,-0.5,"Mixed"
"55",12278,"Susan M. Blinks","F",42,167,68,"United States","USA","2000 Summer",2000,"Summer","Sydney","Equestrianism","Equestrianism  Dressage, Team","Bronze",0,0.5,"Mixed"
"56",12494,"Yekaterina Aleksandrovna Bobrova","F",23,160,49,"Russia","RUS","2014 Winter",2014,"Winter","Sochi","Figure Skating","Figure Skating  Team","Gold",1,0.5,"Mixed"
"57",12886,"Arnaud Boiteau","M",30,185,76,"France","FRA","2004 Summer",2004,"Summer","Athina","Equestrianism","Equestrianism  Three-Day Event, Team","Gold",1,-0.5,"Mixed"
"58",13303,"Petronella Theodora Maria ""Ellen"" Bontje","F",42,178,72,"Netherlands","NED","2000 Summer",2000,"Summer","Sydney","Equestrianism","Equestrianism  Dressage, Team","Silver",0,0.5,"Mixed"
"59",13362,"Mitchell Jay ""Mitch"" Booth","M",33,169,78,"Australia","AUS","1996 Summer",1996,"Summer","Atlanta","Sailing","Sailing  Multihull","Silver",0,-0.5,"Mixed"
"60",13536,"Ingo Borkowski","M",28,185,83,"Germany","GER","2000 Summer",2000,"Summer","Sydney","Sailing","Sailing  Three Person Keelboat","Silver",0,-0.5,"Mixed"
"61",13790,"Roger-Yves Bost","M",50,176,80,"France","FRA","2016 Summer",2016,"Summer","Rio de Janeiro","Equestrianism","Equestrianism  Jumping, Team","Gold",1,-0.5,"Mixed"
"62",14578,"Jeanette Brakewell","F",26,169,60,"Great Britain","GBR","2000 Summer",2000,"Summer","Sydney","Equestrianism","Equestrianism  Three-Day Event, Team","Silver",0,0.5,"Mixed"
"63",14578,"Jeanette Brakewell","F",30,169,60,"Great Britain","GBR","2004 Summer",2004,"Summer","Athina","Equestrianism","Equestrianism  Three-Day Event, Team","Silver",0,0.5,"Mixed"
"64",14706,"Scott Brash","M",26,171,64,"Great Britain","GBR","2012 Summer",2012,"Summer","London","Equestrianism","Equestrianism  Jumping, Team","Gold",1,-0.5,"Mixed"
"65",14718,"Isabelle Brasseur (-Marval)","F",23,150,44,"Canada-1","CAN","1994 Winter",1994,"Winter","Lillehammer","Figure Skating","Figure Skating  Pairs","Bronze",0,0.5,"Mixed"
"66",15227,"Allison M. Brock","F",36,168,59,"United States","USA","2016 Summer",2016,"Summer","Rio de Janeiro","Equestrianism","Equestrianism  Dressage, Team","Bronze",0,0.5,"Mixed"
"67",15406,"Kristina Brring-Sprehe","F",25,168,54,"Germany","GER","2012 Summer",2012,"Summer","London","Equestrianism","Equestrianism  Dressage, Team","Silver",0,0.5,"Mixed"
"68",15406,"Kristina Brring-Sprehe","F",29,168,54,"Germany","GER","2016 Summer",2016,"Summer","Rio de Janeiro","Equestrianism","Equestrianism  Dressage, Individual","Bronze",0,0.5,"Mixed"
"69",15406,"Kristina Brring-Sprehe","F",29,168,54,"Germany","GER","2016 Summer",2016,"Summer","Rio de Janeiro","Equestrianism","Equestrianism  Dressage, Team","Gold",1,0.5,"Mixed"
"70",15537,"Jason Brown","M",19,170,61,"United States","USA","2014 Winter",2014,"Winter","Sochi","Figure Skating","Figure Skating  Team","Bronze",0,-0.5,"Mixed"
"71",15693,"Kurt Brugger","M",24,185,86,"Italy-1","ITA","1994 Winter",1994,"Winter","Lillehammer","Luge","Luge  (Men)'s Doubles","Gold",1,-0.5,"Mixed"
"72",15882,"Michael Carl ""Mike"" Bryan","M",34,191,87,"United States-1","USA","2012 Summer",2012,"Summer","London","Tennis","Tennis  Doubles","Bronze",0,-0.5,"Mixed"
"73",16424,"Darren Bundock","M",29,180,70,"Australia","AUS","2000 Summer",2000,"Summer","Sydney","Sailing","Sailing  Multihull","Silver",0,-0.5,"Mixed"
"74",16424,"Darren Bundock","M",37,180,70,"Australia","AUS","2008 Summer",2008,"Summer","Beijing","Sailing","Sailing  Multihull","Silver",0,-0.5,"Mixed"
"75",16717,"Leslie Michele Burr-Howard (-Leneghan-)","F",39,167,55,"United States","USA","1996 Summer",1996,"Summer","Atlanta","Equestrianism","Equestrianism  Jumping, Team","Silver",0,0.5,"Mixed"
"76",16759,"Christopher Burton","M",34,180,70,"Australia","AUS","2016 Summer",2016,"Summer","Rio de Janeiro","Equestrianism","Equestrianism  Three-Day Event, Team","Bronze",0,-0.5,"Mixed"
"77",18029,"Nadine Capellmann (-Biffar-)","F",35,166,51,"Germany","GER","2000 Summer",2000,"Summer","Sydney","Equestrianism","Equestrianism  Dressage, Team","Gold",1,0.5,"Mixed"
"78",18029,"Nadine Capellmann (-Biffar-)","F",43,166,51,"Elvis Va","GER","2008 Summer",2008,"Summer","Beijing","Equestrianism","Equestrianism  Dressage, Team","Gold",1,0.5,"Mixed"
"79",18500,"Cecilia Carranza Saroli","F",29,164,63,"Argentina","ARG","2016 Summer",2016,"Summer","Rio de Janeiro","Sailing","Sailing  Multihull","Gold",1,0.5,"Mixed"
"80",18913,"Marissa Castelli","F",23,152,48,"United States","USA","2014 Winter",2014,"Winter","Sochi","Figure Skating","Figure Skating  Team","Bronze",0,0.5,"Mixed"
"81",19695,"Patrick Lewis Chan","M",23,168,67,"Canada","CAN","2014 Winter",2014,"Winter","Sochi","Figure Skating","Figure Skating  Team","Silver",0,-0.5,"Mixed"
"82",19696,"Chan Peng Soon","M",28,175,68,"Malaysia","MAS","2016 Summer",2016,"Summer","Rio de Janeiro","Badminton","Badminton  Doubles","Silver",0,-0.5,"Mixed"
"83",19898,"Peter Charles","M",52,175,78,"Great Britain","GBR","2012 Summer",2012,"Summer","London","Equestrianism","Equestrianism  Jumping, Team","Gold",1,-0.5,"Mixed"
"84",20621,"Darren M. Chiacchia","M",39,177,74,"United States","USA","2004 Summer",2004,"Summer","Athina","Equestrianism","Equestrianism  Three-Day Event, Team","Bronze",0,-0.5,"Mixed"
"85",22646,"Malcolm ""Mac"" Cone","M",55,188,82,"Canada","CAN","2008 Summer",2008,"Summer","Beijing","Equestrianism","Equestrianism  Jumping, Team","Silver",0,-0.5,"Mixed"
"86",22867,"Althea Kristina ""Tina"" Cook (Gifford-)","F",37,175,71,"Great Britain","GBR","2008 Summer",2008,"Summer","Beijing","Equestrianism","Equestrianism  Three-Day Event, Individual","Bronze",0,0.5,"Mixed"
"87",22867,"Althea Kristina ""Tina"" Cook (Gifford-)","F",37,175,71,"Great Britain","GBR","2008 Summer",2008,"Summer","Beijing","Equestrianism","Equestrianism  Three-Day Event, Team","Bronze",0,0.5,"Mixed"
"88",22867,"Althea Kristina ""Tina"" Cook (Gifford-)","F",41,175,71,"Great Britain","GBR","2012 Summer",2012,"Summer","London","Equestrianism","Equestrianism  Three-Day Event, Team","Silver",0,0.5,"Mixed"
"89",23096,"Monique Adelinde Cornelissen","F",33,168,55,"Netherlands","NED","2012 Summer",2012,"Summer","London","Equestrianism","Equestrianism  Dressage, Individual","Silver",0,0.5,"Mixed"
"90",23096,"Monique Adelinde Cornelissen","F",33,168,55,"Netherlands","NED","2012 Summer",2012,"Summer","London","Equestrianism","Equestrianism  Dressage, Team","Bronze",0,0.5,"Mixed"
"91",23466,"Didier Courrges","M",44,171,65,"France","FRA","2004 Summer",2004,"Summer","Athina","Equestrianism","Equestrianism  Three-Day Event, Team","Gold",1,-0.5,"Mixed"
"92",23544,"Mark Covell","M",32,201,130,"Great Britain","GBR","2000 Summer",2000,"Summer","Sydney","Sailing","Sailing  Two Person Keelboat","Silver",0,-0.5,"Mixed"
"93",25384,"Lisa Darmanin","F",24,168,65,"Australia","AUS","2016 Summer",2016,"Summer","Rio de Janeiro","Sailing","Sailing  Multihull","Silver",0,0.5,"Mixed"
"94",25591,"Bruce Oram Davidson","M",46,180,66,"United States","USA","1996 Summer",1996,"Summer","Atlanta","Equestrianism","Equestrianism  Three-Day Event, Team","Silver",0,-0.5,"Mixed"
"95",25709,"Lucy Davis","F",23,165,55,"United States","USA","2016 Summer",2016,"Summer","Rio de Janeiro","Equestrianism","Equestrianism  Jumping, Team","Silver",0,0.5,"Mixed"
"96",25713,"Meryl Elizabeth Davis","F",23,160,49,"United States-1","USA","2010 Winter",2010,"Winter","Vancouver","Figure Skating","Figure Skating  Ice Dancing","Silver",0,0.5,"Mixed"
"97",25713,"Meryl Elizabeth Davis","F",27,160,49,"United States-1","USA","2014 Winter",2014,"Winter","Sochi","Figure Skating","Figure Skating  Ice Dancing","Gold",1,0.5,"Mixed"
"98",25713,"Meryl Elizabeth Davis","F",27,160,49,"United States","USA","2014 Winter",2014,"Winter","Sochi","Figure Skating","Figure Skating  Team","Bronze",0,0.5,"Mixed"
"99",25718,"Paul Martin Davis","M",42,193,105,"Norway","NOR","2000 Summer",2000,"Summer","Sydney","Sailing","Sailing  Three Person Keelboat","Bronze",0,-0.5,"Mixed"
"100",25898,"Luiz Felipe Cortizo Gonalves de Azevedo","M",42,179,73,"Brazil","BRA","1996 Summer",1996,"Summer","Atlanta","Equestrianism","Equestrianism  Jumping, Team","Bronze",0,-0.5,"Mixed"
"101",25898,"Luiz Felipe Cortizo Gonalves de Azevedo","M",47,179,73,"Brazil","BRA","2000 Summer",2000,"Summer","Sydney","Equestrianism","Equestrianism  Jumping, Team","Bronze",0,-0.5,"Mixed"
"102",26839,"Christopher Colin Dean","M",35,180,73,"Great Britain","GBR","1994 Winter",1994,"Winter","Lillehammer","Figure Skating","Figure Skating  Ice Dancing","Bronze",0,-0.5,"Mixed"
"103",27442,"Albert Mikhaylovich Demchenko","M",42,185,95,"Russia","RUS","2014 Winter",2014,"Winter","Sochi","Luge","Luge  Team Relay","Silver",0,-0.5,"Mixed"
"104",27609,"Aleksandr Vladimirovich Denisyev","M",22,189,100,"Russia","RUS","2014 Winter",2014,"Winter","Sochi","Luge","Luge  Team Relay","Silver",0,-0.5,"Mixed"
"105",27912,"Daniel Deuer","M",34,190,76,"Germany","GER","2016 Summer",2016,"Summer","Rio de Janeiro","Equestrianism","Equestrianism  Jumping, Team","Bronze",0,-0.5,"Mixed"
"106",28324,"Andreas Dibowski","M",42,181,73,"Germany","GER","2008 Summer",2008,"Summer","Beijing","Equestrianism","Equestrianism  Three-Day Event, Team","Gold",1,-0.5,"Mixed"
"107",28333,"Katherine Mary ""Daisy"" Dick (-Berkeley)","F",36,168,55,"Great Britain","GBR","2008 Summer",2008,"Summer","Beijing","Equestrianism","Equestrianism  Three-Day Event, Team","Bronze",0,0.5,"Mixed"
"108",28902,"Artur Valeryevich Dmitriyev","M",26,183,82,"Russia-2","RUS","1994 Winter",1994,"Winter","Lillehammer","Figure Skating","Figure Skating  Pairs","Silver",0,-0.5,"Mixed"
